,date,fuel_price
245,2024-09-02,6.03
246,2024-09-03,6.03
247,2024-09-04,6.03
248,2024-09-05,6.03
249,2024-09-06,6.03
250,2024-09-07,6.03
251,2024-09-08,6.02
252,2024-09-09,6.02
253,2024-09-10,6.02
254,2024-09-11,6.02
255,2024-09-12,6.02
256,2024-09-13,6.02
257,2024-09-14,6.02
258,2024-09-15,6.03
259,2024-09-16,6.03
260,2024-09-17,6.03
261,2024-09-18,6.03
262,2024-09-19,6.03
263,2024-09-20,6.03
264,2024-09-21,6.03
265,2024-09-22,6.01
266,2024-09-23,6.01
267,2024-09-24,6.01
268,2024-09-25,6.01
269,2024-09-26,6.01
270,2024-09-27,6.01
271,2024-09-28,6.01
272,2024-09-29,6.03
273,2024-09-30,6.03
274,2024-10-01,6.03
275,2024-10-02,6.03
276,2024-10-03,6.03
277,2024-10-04,6.03
278,2024-10-05,6.03
279,2024-10-06,6.02
280,2024-10-07,6.02
281,2024-10-08,6.02
282,2024-10-09,6.02
283,2024-10-10,6.02
284,2024-10-11,6.02
285,2024-10-12,6.02
286,2024-10-13,6.02
287,2024-10-14,6.02
288,2024-10-15,6.02
289,2024-10-16,6.02
290,2024-10-17,6.02
291,2024-10-18,6.02
292,2024-10-19,6.02
293,2024-10-20,6.03
294,2024-10-21,6.03
295,2024-10-22,6.03
296,2024-10-23,6.03
297,2024-10-24,6.03
298,2024-10-25,6.03
299,2024-10-26,6.03
300,2024-10-27,6.04
301,2024-10-28,6.04
302,2024-10-29,6.04
303,2024-10-30,6.04
304,2024-10-31,6.04
305,2024-11-01,6.04
306,2024-11-02,6.04
307,2024-11-03,6.04
308,2024-11-04,6.04
309,2024-11-05,6.04
310,2024-11-06,6.04
311,2024-11-07,6.04
312,2024-11-08,6.04
313,2024-11-09,6.04
314,2024-11-10,6.05
315,2024-11-11,6.05
316,2024-11-12,6.05
317,2024-11-13,6.05
318,2024-11-14,6.05
319,2024-11-15,6.05
320,2024-11-16,6.05
321,2024-11-17,6.08
322,2024-11-18,6.08
